code,label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Head/householder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Spouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2nd/3rd wife (polygamous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Adopted child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Stepchild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,"Adopted, n.s.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Child-in-law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Step child-in-law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Step Parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Parent-in-law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Step Parent-in-law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Sibling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Step/half/adopted sibling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Sibling-in-Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,Step/half sibling-in-law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Grandchild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Adopted grandchild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Step grandchild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Grandchild-in-law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Other Relatives:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,"Other relatives, n.s.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Grandparent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Step grandparent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Grandparent-in-law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Aunt or uncle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Aunt-/uncle-in-law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,"Nephew, niece",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Nephew/niece-in-law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Step/adopted nephew/niece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Grand niece/nephew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
